ชื่อสินค้า,คงเหลือ,หมายเหตุ
Glucose,1,
Urea/BUN,1,
Total Protien,2,
Wash Solution No.3,0,
Cellpack 20L,2,
Sulfolyser 500 ml.,1,
XNL Check L3 3.0 ML,1,
Abbott Bioline HBsAg Casette WB,10,
Bioline HbsAg Casette WB,,
Determine HIV Early Detected,0,
Determine HIV Early Detect,10,
Determine Syphilis TP,10,50Test
"Influenza A+B Rapid Test , Cessette",0,
Influenza A+B rapid test,,
"""VTECH"" Urine Container 60ml Yellow Cap","1,000",
ถุงมือยางทางการแพทย์(50 คู่/pack),,
เข็มเจาะเลือด(Sterile lancet),0,
หลอดเป่าแอลกอฮอล์ รุ่น AT8070,,
หลอดเครื่องเป่าแอลกอฮอล์ รุ่น AT8070,0,
เครื่องเป่าแอลกอฮอล์ รุ่น AT8070,,
เครื่องเป่าแอลกอฮอล์,0,
เครื่องวัดความดัน รุ่นYUWELL,0,
ไม้เท้า 1ปุ่ม,0,
แพคเกจตรวจสุขภาพประจำปีสำหรับ 1 ท่าน,,
ระบบเชื่อมต่อ LIS,,
ค่าไฟฟ้า,,
ค่าจ้าง,,
ค่าจัดส่ง / delivery fee,0,
ALAT,2,
ALAT,2,
"Sysmex -Chem BM Test Hba1c,Reagent 1(30 ML)",50.0,
ของที่ไม่เข้าหมวดไหนเลย,7,
สินค้าทดสอบ 001,1,
สินค้าทดสอบ 002,2,
สินค้าทดสอบ 003,3,หมายเหตุ 3
สินค้าทดสอบ 004,4,
สินค้าทดสอบ 005,5,
สินค้าทดสอบ 006,6,หมายเหตุ 6
สินค้าทดสอบ 007,0,
สินค้าทดสอบ 008,1,
สินค้าทดสอบ 009,2,หมายเหตุ 9
สินค้าทดสอบ 010,3,
สินค้าทดสอบ 011,4,
สินค้าทดสอบ 012,5,หมายเหตุ 12
สินค้าทดสอบ 013,6,
สินค้าทดสอบ 014,0,
สินค้าทดสอบ 015,1,หมายเหตุ 15
สินค้าทดสอบ 016,2,
สินค้าทดสอบ 017,3,
สินค้าทดสอบ 018,4,หมายเหตุ 18
สินค้าทดสอบ 019,5,
สินค้าทดสอบ 020,6,
สินค้าทดสอบ 021,0,หมายเหตุ 21
สินค้าทดสอบ 022,1,
สินค้าทดสอบ 023,2,
สินค้าทดสอบ 024,3,หมายเหตุ 24
สินค้าทดสอบ 025,4,
สินค้าทดสอบ 026,5,
สินค้าทดสอบ 027,6,หมายเหตุ 27
สินค้าทดสอบ 028,0,
สินค้าทดสอบ 029,1,
สินค้าทดสอบ 030,2,หมายเหตุ 30
สินค้าทดสอบ 031,3,
สินค้าทดสอบ 032,4,
สินค้าทดสอบ 033,5,หมายเหตุ 33
สินค้าทดสอบ 034,6,
สินค้าทดสอบ 035,0,
สินค้าทดสอบ 036,1,หมายเหตุ 36
สินค้าทดสอบ 037,2,
สินค้าทดสอบ 038,3,
สินค้าทดสอบ 039,4,หมายเหตุ 39
สินค้าทดสอบ 040,5,
สินค้าทดสอบ 041,6,
สินค้าทดสอบ 042,0,หมายเหตุ 42
สินค้าทดสอบ 043,1,
สินค้าทดสอบ 044,2,
สินค้าทดสอบ 045,3,หมายเหตุ 45
สินค้าทดสอบ 046,4,
สินค้าทดสอบ 047,5,
สินค้าทดสอบ 048,6,หมายเหตุ 48
สินค้าทดสอบ 049,0,
สินค้าทดสอบ 050,1,
สินค้าทดสอบ 051,2,หมายเหตุ 51
สินค้าทดสอบ 052,3,
สินค้าทดสอบ 053,4,
สินค้าทดสอบ 054,5,หมายเหตุ 54
สินค้าทดสอบ 055,6,
สินค้าทดสอบ 056,0,
สินค้าทดสอบ 057,1,หมายเหตุ 57
สินค้าทดสอบ 058,2,
สินค้าทดสอบ 059,3,
สินค้าทดสอบ 060,4,หมายเหตุ 60
สินค้าทดสอบ 061,5,
สินค้าทดสอบ 062,6,
สินค้าทดสอบ 063,0,หมายเหตุ 63
สินค้าทดสอบ 064,1,
สินค้าทดสอบ 065,2,
สินค้าทดสอบ 066,3,หมายเหตุ 66
สินค้าทดสอบ 067,4,
สินค้าทดสอบ 068,5,
สินค้าทดสอบ 069,6,หมายเหตุ 69
สินค้าทดสอบ 070,0,
สินค้าทดสอบ 071,1,
สินค้าทดสอบ 072,2,หมายเหตุ 72
สินค้าทดสอบ 073,3,
สินค้าทดสอบ 074,4,
สินค้าทดสอบ 075,5,หมายเหตุ 75
สินค้าทดสอบ 076,6,
สินค้าทดสอบ 077,0,
สินค้าทดสอบ 078,1,หมายเหตุ 78
สินค้าทดสอบ 079,2,
สินค้าทดสอบ 080,3,
สินค้าทดสอบ 081,4,หมายเหตุ 81
สินค้าทดสอบ 082,5,
สินค้าทดสอบ 083,6,
สินค้าทดสอบ 084,0,หมายเหตุ 84
สินค้าทดสอบ 085,1,
สินค้าทดสอบ 086,2,
สินค้าทดสอบ 087,3,หมายเหตุ 87
สินค้าทดสอบ 088,4,
สินค้าทดสอบ 089,5,
สินค้าทดสอบ 090,6,หมายเหตุ 90
สินค้าทดสอบ 091,0,
สินค้าทดสอบ 092,1,
สินค้าทดสอบ 093,2,หมายเหตุ 93
สินค้าทดสอบ 094,3,
สินค้าทดสอบ 095,4,
สินค้าทดสอบ 096,5,หมายเหตุ 96
สินค้าทดสอบ 097,6,
สินค้าทดสอบ 098,0,
สินค้าทดสอบ 099,1,หมายเหตุ 99
สินค้าทดสอบ 100,2,
